"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Iceland","","1760","9","1291","460","5158","26","41091","-18.1059013","64.9841821","2020-04-19 12:34:39"
"Kuwait","","1751","6","280","1465","410","1","0","47.4979476","29.2733964","2020-04-19 12:34:39"
"Kazakhstan","","1615","17","377","1221","86","9","100878","65.2093197","47.2286086","2020-04-19 12:34:39"
"Iraq","","1513","82","953","478","38","2","53955","44.1749775","33.0955793","2020-04-19 12:34:39"
"Estonia","","1512","38","162","1312","1140","29","39605","25.3319078","58.7523778","2020-04-19 12:34:39"
"Uzbekistan","","1495","5","194","1296","45","1","136000","63.9528098","41.32373","2020-04-19 12:34:39"
"New Zealand","","1431","12","912","507","297","2","83224","172.8344077","-41.5000831","2020-04-19 12:34:39"
"Azerbaijan","","1373","18","590","765","135","2","86607","47.7872508","40.3936294","2020-04-19 12:34:39"
"Slovenia","","1317","70","190","1057","633","34","40580","14.4808369","45.8133113","2020-04-19 12:34:39"
"Lithuania","","1298","33","242","1023","477","12","64035","23.7499997","55.3500003","2020-04-19 12:34:39"
"Armenia","","1291","20","545","726","436","7","12680","44.6736646","40.7696272","2020-04-19 12:34:39"
"Bosnia and Herzegovina","","1268","47","338","883","386","14","16868","17.5961467","44.3053476","2020-04-19 12:34:39"
"Oman","","1266","6","233","1027","248","1","0","57.0036901","21.0000287","2020-04-19 12:34:39"
"North Macedonia","","1170","49","164","957","562","24","11556","21.7168387","41.6171214","2020-04-19 12:34:39"
"Slovakia","","1089","11","213","865","199","2","40953","19.4528646","48.7411522","2020-04-19 12:34:39"
"Hong Kong","","1024","4","568","452","137","5","131786","114.1628131","22.2793278","2020-04-19 12:34:39"
"Cameroon","","1017","42","305","670","38","2","0","13.1535811","4.6125522","2020-04-19 12:34:39"
"Afghanistan","","993","32","131","830","26","8","0","66.2385139","33.7680065","2020-04-19 12:34:39"
"Cuba","","986","32","227","727","87","3","25309","-80.8328748","23.0131338","2020-04-19 12:34:39"
"Bulgaria","","884","42","161","681","127","6","26417","25.4856617","42.6073975","2020-04-19 12:34:39"
