"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Libya","","18","1","0","17.228331","26.3351","2020-04-07 21:45:39"
"Liechtenstein","","77","1","0","9.55","47.14","2020-04-07 21:45:39"
"Lithuania","","771","11","7","23.8813","55.1694","2020-04-07 21:45:39"
"Luxembourg","","2729","31","500","6.1296","49.8153","2020-04-07 21:45:39"
"MS Zaandam","","9","2","0","","","2020-04-07 21:45:39"
"Madagascar","","70","0","0","46.869107","-18.766947","2020-04-07 21:45:39"
"Malawi","","4","0","0","34.301525","-13.254307999999998","2020-04-07 21:45:39"
"Malaysia","","3483","57","915","101.975766","4.210483999999999","2020-04-07 21:45:39"
"Maldives","","19","0","13","73.2207","3.2028","2020-04-07 21:45:39"
"Mali","","41","3","1","-3.996166000000001","17.570692","2020-04-07 21:45:39"
"Malta","","213","0","2","14.3754","35.9375","2020-04-07 21:45:39"
"Mauritania","","6","1","2","-10.9408","21.0079","2020-04-07 21:45:39"
"Mauritius","","196","7","7","57.552152","-20.348404","2020-04-07 21:45:39"
"Mexico","","1688","60","633","-102.5528","23.6345","2020-04-07 21:45:39"
"Moldova","","752","12","29","28.3699","47.4116","2020-04-07 21:45:39"
"Monaco","","66","1","3","7.4167","43.7333","2020-04-07 21:45:39"
"Mongolia","","14","0","2","103.8467","46.8625","2020-04-07 21:45:39"
"Montenegro","","201","2","1","19.37439","42.708678000000006","2020-04-07 21:45:39"
"Morocco","","919","59","66","-7.0926","31.7917","2020-04-07 21:45:39"
"Mozambique","","10","0","1","35.529562","-18.665695","2020-04-07 21:45:39"
"Namibia","","14","0","3","18.4904","-22.9576","2020-04-07 21:45:39"
"Nepal","","9","0","1","84.25","28.1667","2020-04-07 21:45:39"
"Netherlands","","16627","1651","250","5.2913","52.1326","2020-04-07 21:45:39"
"New Zealand","","950","1","127","174.886","-40.9006","2020-04-07 21:45:39"
"Nicaragua","","5","1","0","-85.207229","12.865416","2020-04-07 21:45:39"
"Niger","","144","8","0","8.081666","17.607789","2020-04-07 21:45:39"
"Nigeria","","214","4","25","8.6753","9.082","2020-04-07 21:45:39"
"North Macedonia","","483","17","20","21.7453","41.6086","2020-04-07 21:45:39"
"Norway","","5550","62","32","8.4689","60.472","2020-04-07 21:45:39"
"Oman","","277","2","61","55.92325500000001","21.512583","2020-04-07 21:45:39"
"Pakistan","","2818","41","131","69.3451","30.3753","2020-04-07 21:45:39"
"Panama","","1673","41","13","-80.7821","8.538","2020-04-07 21:45:39"
"Papua New Guinea","","1","0","0","143.95555","-6.314993","2020-04-07 21:45:39"
"Paraguay","","96","3","12","-58.4438","-23.4425","2020-04-07 21:45:39"
"Peru","","1746","73","914","-75.0152","-9.19","2020-04-07 21:45:39"
"Philippines","","3094","144","57","121.774017","12.879721","2020-04-07 21:45:39"
"Poland","","3627","79","116","19.1451","51.9194","2020-04-07 21:45:39"
"Portugal","","10524","266","75","-8.2245","39.3999","2020-04-07 21:45:39"
"Qatar","","1325","3","109","51.1839","25.3548","2020-04-07 21:45:39"
"Romania","","3613","146","329","24.9668","45.9432","2020-04-07 21:45:39"
"Russia","","4731","43","333","105.318756","61.52401","2020-04-07 21:45:39"
"Rwanda","","102","0","0","29.8739","-1.9403","2020-04-07 21:45:39"
"Saint Kitts and Nevis","","9","0","0","-62.782998","17.357822","2020-04-07 21:45:39"
"Saint Lucia","","14","0","1","-60.9789","13.9094","2020-04-07 21:45:39"
"Saint Vincent and the Grenadines","","7","0","1","-61.2872","12.9843","2020-04-07 21:45:39"
"San Marino","","259","32","27","12.4578","43.9424","2020-04-07 21:45:39"
"Saudi Arabia","","2179","29","420","45.079162","23.885942","2020-04-07 21:45:39"
"Senegal","","219","2","72","-14.4524","14.4974","2020-04-07 21:45:39"
"Serbia","","1624","44","0","21.0059","44.0165","2020-04-07 21:45:39"
"Seychelles","","10","0","0","55.492","-4.6796","2020-04-07 21:45:39"
"Sierra Leone","","4","0","0","-11.779889","8.460555000000001","2020-04-07 21:45:39"
"Singapore","","1189","6","297","103.8333","1.2833","2020-04-07 21:45:39"
"Slovakia","","471","1","10","19.699","48.669","2020-04-07 21:45:39"
"Slovenia","","977","22","79","14.9955","46.1512","2020-04-07 21:45:39"
"Somalia","","7","0","1","46.199616","5.152149","2020-04-07 21:45:39"
"South Africa","","1585","9","95","22.9375","-30.5595","2020-04-07 21:45:39"
"Spain","","126168","11947","34219","-3.74922","40.463667","2020-04-07 21:45:39"
"Sri Lanka","","166","5","27","80.77179699999998","7.873054","2020-04-07 21:45:39"
"Sudan","","10","2","2","30.2176","12.8628","2020-04-07 21:45:39"
"Suriname","","10","1","0","-56.0278","3.9193","2020-04-07 21:45:39"
"Sweden","","6443","373","205","18.643501","60.128161","2020-04-07 21:45:39"
"Switzerland","","20505","666","6415","8.2275","46.8182","2020-04-07 21:45:39"
"Syria","","16","2","2","38.99681500000001","34.802075","2020-04-07 21:45:39"
"Taiwan*","","355","5","50","121.0","23.7","2020-04-07 21:45:39"
"Tanzania","","20","1","3","34.888822","-6.369028","2020-04-07 21:45:39"
"Thailand","","2067","20","674","100.992541","15.870032","2020-04-07 21:45:39"
"Timor-Leste","","1","0","0","125.727539","-8.874217","2020-04-07 21:45:39"
"Togo","","41","3","17","0.8248","8.6195","2020-04-07 21:45:39"
"Trinidad and Tobago","","103","6","1","-61.2225","10.6918","2020-04-07 21:45:39"
"Tunisia","","553","18","5","9.537499","33.886917","2020-04-07 21:45:39"
"Turkey","","23934","501","786","35.2433","38.9637","2020-04-07 21:45:39"
"Uganda","","48","0","0","32.290275","1.373333","2020-04-07 21:45:39"
"Ukraine","","1225","32","25","31.1656","48.3794","2020-04-07 21:45:39"
"United Arab Emirates","","1505","10","125","53.847818","23.424076","2020-04-07 21:45:39"
"United Kingdom","","41903","4313","135","-3.4360000000000004","55.3781","2020-04-07 21:45:39"
"Uruguay","","400","5","93","-55.7658","-32.5228","2020-04-07 21:45:39"
"Uzbekistan","","266","2","25","64.585262","41.377491","2020-04-07 21:45:39"
"Venezuela","","155","7","52","-66.5897","6.4238","2020-04-07 21:45:39"
"Vietnam","","240","0","90","108.277199","14.058324","2020-04-07 21:45:39"
"West Bank and Gaza","","217","1","21","35.2332","31.9522","2020-04-07 21:45:39"
"Zambia","","39","1","2","27.849332","-13.133897","2020-04-07 21:45:39"
