"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Thailand","Chumphon","1","0","0","0","0","0","0","99.0077685","10.3782724","2020-04-15 13:44:32"
"Thailand","Krabi","13","0","0","0","0","0","0","99.1097298","8.1111653","2020-04-15 13:44:32"
"Thailand","Nakhon Si Thammarat","6","0","0","0","0","0","0","99.7309635","8.6772337","2020-04-15 13:44:32"
"Thailand","Narathiwat","16","1","0","0","0","0","0","101.5972971","6.3210758","2020-04-15 13:44:32"
"Thailand","Pattani","43","1","0","0","0","0","0","101.2504538","6.8678652","2020-04-15 13:44:32"
"Thailand","Phang Nga","0","0","0","0","0","0","0","98.5680335","8.5058295","2020-04-15 13:44:32"
"Thailand","Phatthalung","6","0","0","0","0","0","0","99.9971582","7.543525","2020-04-15 13:44:32"
"Thailand","Phuket","100","0","0","0","0","0","0","98.3529292","7.9366015","2020-04-15 13:44:32"
"Thailand","Ranong","0","0","0","0","0","0","0","98.6870133","10.0469546","2020-04-15 13:44:32"
"Thailand","Satun","0","0","0","0","0","0","0","99.9615397","7.0366682","2020-04-15 13:44:32"
"Thailand","Songkhla","34","0","0","0","0","0","0","100.5498542","6.8790221","2020-04-15 13:44:32"
"Thailand","Surat Thani","14","0","0","0","0","0","0","98.830042","9.4674663","2020-04-15 13:44:32"
"Thailand","Trang","5","0","0","0","0","0","0","99.5032004","7.5892935","2020-04-15 13:44:32"
"Thailand","Yala","50","2","0","0","0","0","0","101.1409694","6.3344846","2020-04-15 13:44:32"
"Thailand","Kanchanaburi","10","0","0","0","0","0","0","99.2676727","14.44019","2020-04-15 13:44:32"
"Thailand","Phetchaburi","1","0","0","0","0","0","0","99.6044376","13.0692869","2020-04-15 13:44:32"
"Thailand","Prachuap Khiri Khan","13","1","0","0","0","0","0","99.7487235","12.0432669","2020-04-15 13:44:32"
"Thailand","Ratchaburi","8","0","0","0","0","0","0","99.3558216","13.6317897","2020-04-15 13:44:32"
"Thailand","Tak","2","0","0","0","0","0","0","98.9953943","17.1053568","2020-04-15 13:44:32"
