"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"India","Uttar Pradesh","969","14","86","0","0","0","0","80.859666","27.1303344","2020-04-19 12:34:39"
"India","Uttarakhand","42","0","9","0","0","0","0","79.32176659343018","30.091993549999998","2020-04-19 12:34:39"
"India","West Bengal","310","12","62","0","0","0","0","87.6855882","22.9964948","2020-04-19 12:34:39"
"Indonesia","Province","5082","631","535","0","0","0","0","-58.3807899","-34.9507134","2020-04-19 12:34:39"
"Indonesia","Aceh","1","4","1","0","0","0","0","97.0253024","4.3685491","2020-04-19 12:34:39"
"Indonesia","Bali","92","36","3","0","0","0","0","115.0906401","-8.3304977","2020-04-19 12:34:39"
"Indonesia","Bangka Belitung Islands","5","0","1","0","0","0","0","107.57571366281124","-2.5329040000000003","2020-04-19 12:34:39"
"Indonesia","Banten","278","9","34","0","0","0","0","105.54102849016589","-6.47800285","2020-04-19 12:34:39"
"Indonesia","Bengkulu","3","0","1","0","0","0","0","102.5359834","-3.5186763","2020-04-19 12:34:39"
"Indonesia","Central Java","244","44","41","0","0","0","0","110.37164897312938","-5.6259648","2020-04-19 12:34:39"
"Indonesia","Central Kalimantan","31","8","2","0","0","0","0","113.2903307","-1.499583","2020-04-19 12:34:39"
"Indonesia","Central Sulawesi","19","2","3","0","0","0","0","120.8088555","-1.6937786","2020-04-19 12:34:39"
"Indonesia","East Java","403","98","54","0","0","0","0","112.4914199","-7.6977397","2020-04-19 12:34:39"
"Indonesia","East Kalimantan","42","11","1","0","0","0","0","116.2419977","0.7884397","2020-04-19 12:34:39"
"Indonesia","East Nusa Tenggara","1","0","0","0","0","0","0","120.6978581","-8.5656787","2020-04-19 12:34:39"
"Indonesia","Gorontalo","4","0","0","0","0","0","0","122.4555927","0.7186174","2020-04-19 12:34:39"
"Indonesia","Jakarta","2466","205","253","0","0","0","0","106.827183","-6.1753942","2020-04-19 12:34:39"
"Indonesia","Jambi","8","0","0","0","0","0","0","102.779699","-1.611572","2020-04-19 12:34:39"
"Indonesia","Lampung","11","10","5","0","0","0","0","105.0272986","-4.8555039","2020-04-19 12:34:39"
"Indonesia","Maluku","11","6","0","0","0","0","0","130.35838229206553","-5.3580518","2020-04-19 12:34:39"
"Indonesia","North Kalimantan","47","2","1","0","0","0","0","116.2049306","3.0235817","2020-04-19 12:34:39"
"Indonesia","North Maluku","2","2","0","0","0","0","0","127.9720219","0.6301215","2020-04-19 12:34:39"
"Indonesia","North Sulawesi","13","5","2","0","0","0","0","124.090151","0.6555692","2020-04-19 12:34:39"
"Indonesia","North Sumatra","58","12","9","0","0","0","0","99.3812201","2.1923519","2020-04-19 12:34:39"
"Indonesia","Papua","71","18","6","0","0","0","0","137.9966136","-4.11501855","2020-04-19 12:34:39"
"Indonesia","Riau","17","9","4","0","0","0","0","101.65561770919261","0.94000845","2020-04-19 12:34:39"
"Indonesia","Riau Islands","66","6","7","0","0","0","0","104.5803745","-0.1547846","2020-04-19 12:34:39"
