"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Philippines","City of Urdaneta","1","","","120.559758","15.970451","2020-04-03 05:24:39"
"Philippines","Gattaran","1","","","121.880253","18.052421","2020-04-03 05:24:39"
"Philippines","Cabagan","1","","","121.881424","17.386457","2020-04-03 05:24:39"
"Philippines","Echague","1","","","121.773807","16.642683","2020-04-03 05:24:39"
"Philippines","City of Santiago","1","","","121.556776","16.678471","2020-04-03 05:24:39"
"Philippines","Bayombong","1","","","121.142718","16.476502","2020-04-03 05:24:39"
"Philippines","Solano","1","","","121.176676","16.545294","2020-04-03 05:24:39"
"Philippines","Alfonso Castaneda","1","","","121.328172","15.909342","2020-04-03 05:24:39"
"Philippines","City of Balanga","1","","","120.486259","14.667699","2020-04-03 05:24:39"
"Philippines","Limay","1","","","120.563057","14.53759","2020-04-03 05:24:39"
"Philippines","Orani","1","","","120.485721","14.790488","2020-04-03 05:24:39"
"Philippines","Bustos","1","","","120.928945","14.93072","2020-04-03 05:24:39"
"Philippines","Guiguinto","1","","","120.879511","14.844398","2020-04-03 05:24:39"
"Philippines","Pulilan","1","","","120.837849","14.921803","2020-04-03 05:24:39"
"Philippines","San Miguel","1","","","121.011395","15.179527","2020-04-03 05:24:39"
"Philippines","General Mamerto Natividad","1","","","121.053758","15.590536","2020-04-03 05:24:39"
"Philippines","Laur","1","","","121.181831","15.540682","2020-04-03 05:24:39"
"Philippines","Licab","1","","","120.769477","15.531563","2020-04-03 05:24:39"
"Philippines","San Antonio","1","","","120.804643","15.327754","2020-04-03 05:24:39"
"Philippines","San Isidro","1","","","120.910051","15.271033","2020-04-03 05:24:39"
"Philippines","Bacolor","1","","","120.629204","15.036663","2020-04-03 05:24:39"
"Philippines","Candaba","1","","","120.874086","15.103749","2020-04-03 05:24:39"
"Philippines","Floridablanca","1","","","120.487431","14.97755","2020-04-03 05:24:39"
"China","Anhui","990","6","984","117.2264","31.8257","2020-04-03 05:24:39"
"China","Beijing","580","8","418","116.4142","40.1824","2020-04-03 05:24:39"
"China","Chongqing","579","6","570","107.874","30.0572","2020-04-03 05:24:39"
"China","Fujian","345","1","298","117.9874","26.0789","2020-04-03 05:24:39"
"China","Gansu","138","2","127","101.0583","37.8099","2020-04-03 05:24:39"
"China","Guangdong","1501","8","1357","113.4244","23.3417","2020-04-03 05:24:39"
"China","Guangxi","254","2","250","108.7881","23.8298","2020-04-03 05:24:39"
"China","Guizhou","146","2","144","106.8748","26.8154","2020-04-03 05:24:39"
"China","Hainan","168","6","168","109.7453","19.1959","2020-04-03 05:24:39"
"China","Hebei","323","6","310","116.1306","39.549","2020-04-03 05:24:39"
"China","Heilongjiang","484","13","469","127.7615","47.862","2020-04-03 05:24:39"
"China","Henan","1276","22","1251","113.614","33.882","2020-04-03 05:24:39"
"China","Hong Kong","765","4","147","114.2","22.3","2020-04-03 05:24:39"
"China","Hubei","67802","3193","63326","112.2707","30.9756","2020-04-03 05:24:39"
"China","Hunan","1018","4","1014","111.7088","27.6104","2020-04-03 05:24:39"
"China","Inner Mongolia","111","1","74","113.9448","44.0935","2020-04-03 05:24:39"
"China","Jiangsu","646","0","631","119.455","32.9711","2020-04-03 05:24:39"
"China","Jiangxi","937","1","935","115.7221","27.614","2020-04-03 05:24:39"
"China","Jilin","98","1","92","126.1923","43.6661","2020-04-03 05:24:39"
"China","Liaoning","140","2","124","122.6085","41.2956","2020-04-03 05:24:39"
"China","Macau","41","0","10","113.55","22.1667","2020-04-03 05:24:39"
"China","Ningxia","75","0","75","106.1655","37.2692","2020-04-03 05:24:39"
"China","Qinghai","18","0","18","95.9956","35.7452","2020-04-03 05:24:39"
"China","Shaanxi","255","3","242","108.8701","35.1917","2020-04-03 05:24:39"
"China","Shandong","774","7","753","118.1498","36.3427","2020-04-03 05:24:39"
"China","Shanghai","516","6","341","121.4491","31.202","2020-04-03 05:24:39"
"China","Shanxi","137","0","133","112.2922","37.5777","2020-04-03 05:24:39"
"China","Sichuan","552","3","537","102.7103","30.6171","2020-04-03 05:24:39"
"China","Tianjin","176","3","135","117.323","39.3054","2020-04-03 05:24:39"
"China","Tibet","1","0","1","88.0924","31.6927","2020-04-03 05:24:39"
"China","Xinjiang","76","3","73","85.2401","41.1129","2020-04-03 05:24:39"
"China","Yunnan","182","2","172","101.487","24.974","2020-04-03 05:24:39"
"China","Zhejiang","1257","1","1226","120.0934","29.1832","2020-04-03 05:24:39"
