Seoul 126.9779692 37.566535 324 260 0
Busan 129.0756416 35.1795543 108 38 1
Daegu 128.601445 35.8714354 6,387 4,205 75
Incheon 126.7052062 37.4562557 40 32 0
Gwangju 126.8526012 35.1595454 19 9 0
Daejeon 127.3845475 36.3504119 24 18 0
Ulsan 129.3113596 35.5383773 36 24 0
Sejong 127.329123 36.631921 41 38 0
Gyeonggi 127.5183 37.41379999999999 337 252 3
Gangwon 128.1555 37.8228 30 16 1
Chungbuk 127.7 36.8 35 26 0
Chungnam 126.8 36.5184 120 81 0
Jeonbuk 127.153 35.71750000000001 10 3 0
Jeonnam 126.991 34.8679 6 3 0
Gyeongbuk 128.8889 36.4919 1,254 798 24
Gyeongnam 128.2132 35.4606 88 46 0
Jeju 126.4983023 33.4890113 4 1 0
|Airport Screening| 126.4406957 37.4601908 34 34 0
